days,batch,female_age,treatment,vial,offspring,daily_offspring,notes
nov 13-15,1,05-Apr,low,1,57,28.5,
nov 13-15,1,05-Apr,low,2,101,50.5,
nov 13-15,1,05-Apr,low,3,31,15.5,
nov 13-15,1,05-Apr,low,4,0,0,
nov 13-15,1,05-Apr,low,5,9,4.5,
nov 13-15,1,05-Apr,low,6,120,60,
nov 13-15,1,05-Apr,low,7,103,51.5,
nov 13-15,1,05-Apr,low,8,107,53.5,
nov 13-15,1,05-Apr,low,9,103,51.5,
nov 13-15,1,05-Apr,low,10,35,17.5,
nov 13-15,1,05-Apr,low,11,99,49.5,
nov 13-15,1,05-Apr,low,12,130,65,
nov 13-15,1,05-Apr,low,13,85,42.5,
nov 13-15,1,05-Apr,low,14,96,48,
nov 13-15,1,05-Apr,low,15,153,76.5,
nov 13-15,1,05-Apr,low,16,125,62.5,
nov 13-15,1,05-Apr,low,17,105,52.5,
nov 13-15,1,05-Apr,low,18,79,39.5,
nov 13-15,1,05-Apr,low,19,119,59.5,
nov 13-15,1,05-Apr,low,20,134,67,
nov 13-15,1,05-Apr,medium,1,67,33.5,
nov 13-15,1,05-Apr,medium,2,113,56.5,
nov 13-15,1,05-Apr,medium,3,100,50,
nov 13-15,1,05-Apr,medium,4,116,58,
nov 13-15,1,05-Apr,medium,5,148,74,
nov 13-15,1,05-Apr,medium,6,125,62.5,
nov 13-15,1,05-Apr,medium,7,127,63.5,
nov 13-15,1,05-Apr,medium,8,108,54,
nov 13-15,1,05-Apr,medium,9,139,69.5,
nov 13-15,1,05-Apr,medium,10,130,65,
nov 13-15,1,05-Apr,medium,11,97,48.5,
nov 13-15,1,05-Apr,medium,12,138,69,
nov 13-15,1,05-Apr,medium,13,111,55.5,
nov 13-15,1,05-Apr,medium,14,128,64,
nov 13-15,1,05-Apr,medium,15,76,38,
nov 13-15,1,05-Apr,medium,16,104,52,
nov 13-15,1,05-Apr,medium,17,98,49,
nov 13-15,1,05-Apr,medium,18,96,48,
nov 13-15,1,05-Apr,medium,19,131,65.5,
nov 13-15,1,05-Apr,medium,20,117,58.5,
nov 13-15,1,05-Apr,high,1,92,46,
nov 13-15,1,05-Apr,high,2,141,70.5,
nov 13-15,1,05-Apr,high,3,148,74,
nov 13-15,1,05-Apr,high,4,114,57,
nov 13-15,1,05-Apr,high,5,95,47.5,
nov 13-15,1,05-Apr,high,6,110,55,
nov 13-15,1,05-Apr,high,7,132,66,
nov 13-15,1,05-Apr,high,8,113,56.5,
nov 13-15,1,05-Apr,high,9,134,67,
nov 13-15,1,05-Apr,high,10,29,14.5,
nov 13-15,1,05-Apr,high,11,105,52.5,
nov 13-15,1,05-Apr,high,12,118,59,
nov 13-15,1,05-Apr,high,13,123,61.5,
nov 13-15,1,05-Apr,high,14,132,66,
nov 13-15,1,05-Apr,high,15,118,59,
nov 13-15,1,05-Apr,high,16,133,66.5,
nov 13-15,1,05-Apr,high,17,149,74.5,
nov 13-15,1,05-Apr,high,18,54,27,
nov 13-15,1,05-Apr,high,19,133,66.5,
nov 13-15,1,05-Apr,high,20,95,47.5,
nov 15-17,2,07-Jun,low,1,62,31,
nov 15-17,2,07-Jun,low,2,149,74.5,
nov 15-17,2,07-Jun,low,3,0,0,
nov 15-17,2,07-Jun,low,4,0,0,
nov 15-17,2,07-Jun,low,5,0,0,
nov 15-17,2,07-Jun,low,6,138,69,
nov 15-17,2,07-Jun,low,7,83,41.5,
nov 15-17,2,07-Jun,low,8,75,37.5,
nov 15-17,2,07-Jun,low,9,123,61.5,
nov 15-17,2,07-Jun,low,10,35,17.5,
nov 15-17,2,07-Jun,low,11,97,48.5,
nov 15-17,2,07-Jun,low,12,118,59,
nov 15-17,2,07-Jun,low,13,72,36,
nov 15-17,2,07-Jun,low,14,98,49,
nov 15-17,2,07-Jun,low,15,94,47,
nov 15-17,2,07-Jun,low,16,95,47.5,
nov 15-17,2,07-Jun,low,17,112,56,
nov 15-17,2,07-Jun,low,18,41,20.5,
nov 15-17,2,07-Jun,low,19,142,71,
nov 15-17,2,07-Jun,low,20,140,70,
nov 15-17,2,07-Jun,medium,1,30,15,
nov 15-17,2,07-Jun,medium,2,128,64,
nov 15-17,2,07-Jun,medium,3,153,76.5,
nov 15-17,2,07-Jun,medium,4,122,61,
nov 15-17,2,07-Jun,medium,5,137,68.5,
nov 15-17,2,07-Jun,medium,6,144,72,
nov 15-17,2,07-Jun,medium,7,130,65,
nov 15-17,2,07-Jun,medium,8,111,55.5,
nov 15-17,2,07-Jun,medium,9,141,70.5,
nov 15-17,2,07-Jun,medium,10,122,61,
nov 15-17,2,07-Jun,medium,11,118,59,
nov 15-17,2,07-Jun,medium,12,142,71,
nov 15-17,2,07-Jun,medium,13,118,59,
nov 15-17,2,07-Jun,medium,14,141,70.5,
nov 15-17,2,07-Jun,medium,15,106,53,
nov 15-17,2,07-Jun,medium,16,121,60.5,
nov 15-17,2,07-Jun,medium,17,108,54,
nov 15-17,2,07-Jun,medium,18,115,57.5,
nov 15-17,2,07-Jun,medium,19,97,48.5,
nov 15-17,2,07-Jun,medium,20,133,66.5,
nov 15-17,2,07-Jun,high,1,95,47.5,
nov 15-17,2,07-Jun,high,2,167,83.5,
nov 15-17,2,07-Jun,high,3,164,82,
nov 15-17,2,07-Jun,high,4,132,66,
nov 15-17,2,07-Jun,high,5,103,51.5,
nov 15-17,2,07-Jun,high,6,125,62.5,
nov 15-17,2,07-Jun,high,7,135,67.5,
nov 15-17,2,07-Jun,high,8,156,78,
nov 15-17,2,07-Jun,high,9,90,45,
nov 15-17,2,07-Jun,high,10,16,8,
nov 15-17,2,07-Jun,high,11,157,78.5,
nov 15-17,2,07-Jun,high,12,151,75.5,
nov 15-17,2,07-Jun,high,13,128,64,
nov 15-17,2,07-Jun,high,14,125,62.5,
nov 15-17,2,07-Jun,high,15,122,61,
nov 15-17,2,07-Jun,high,16,55,27.5,
nov 15-17,2,07-Jun,high,17,146,73,
nov 15-17,2,07-Jun,high,18,79,39.5,
nov 15-17,2,07-Jun,high,19,133,66.5,
nov 15-17,2,07-Jun,high,20,79,39.5,
nov 17-19,3,09-Aug,low,1,50,25,
nov 17-19,3,09-Aug,low,2,123,61.5,
nov 17-19,3,09-Aug,low,3,0,0,
nov 17-19,3,09-Aug,low,4,0,0,
nov 17-19,3,09-Aug,low,5,0,0,
nov 17-19,3,09-Aug,low,6,103,51.5,
nov 17-19,3,09-Aug,low,7,63,31.5,
nov 17-19,3,09-Aug,low,8,51,25.5,
nov 17-19,3,09-Aug,low,9,110,55,
nov 17-19,3,09-Aug,low,10,9,4.5,
nov 17-19,3,09-Aug,low,11,80,40,
nov 17-19,3,09-Aug,low,12,25,12.5,
nov 17-19,3,09-Aug,low,13,55,27.5,
nov 17-19,3,09-Aug,low,14,105,52.5,
nov 17-19,3,09-Aug,low,15,41,20.5,
nov 17-19,3,09-Aug,low,16,118,59,
nov 17-19,3,09-Aug,low,17,89,44.5,
nov 17-19,3,09-Aug,low,18,2,1,
nov 17-19,3,09-Aug,low,19,130,65,
nov 17-19,3,09-Aug,low,20,111,55.5,
nov 17-19,3,09-Aug,medium,1,4,2,
nov 17-19,3,09-Aug,medium,2,60,30,
nov 17-19,3,09-Aug,medium,3,107,53.5,
nov 17-19,3,09-Aug,medium,4,138,69,
nov 17-19,3,09-Aug,medium,5,122,61,
nov 17-19,3,09-Aug,medium,6,159,79.5,
nov 17-19,3,09-Aug,medium,7,133,66.5,
nov 17-19,3,09-Aug,medium,8,88,44,
nov 17-19,3,09-Aug,medium,9,163,81.5,
nov 17-19,3,09-Aug,medium,10,140,70,
nov 17-19,3,09-Aug,medium,11,115,57.5,
nov 17-19,3,09-Aug,medium,12,155,77.5,
nov 17-19,3,09-Aug,medium,13,98,49,
nov 17-19,3,09-Aug,medium,14,136,68,
nov 17-19,3,09-Aug,medium,15,116,58,
nov 17-19,3,09-Aug,medium,16,110,55,
nov 17-19,3,09-Aug,medium,17,67,33.5,
nov 17-19,3,09-Aug,medium,18,113,56.5,
nov 17-19,3,09-Aug,medium,19,158,79,
nov 17-19,3,09-Aug,medium,20,146,73,
nov 17-19,3,09-Aug,high,1,93,46.5,
nov 17-19,3,09-Aug,high,2,88,44,
nov 17-19,3,09-Aug,high,3,108,54,
nov 17-19,3,09-Aug,high,4,108,54,
nov 17-19,3,09-Aug,high,5,131,65.5,
nov 17-19,3,09-Aug,high,6,40,20,
nov 17-19,3,09-Aug,high,7,131,65.5,
nov 17-19,3,09-Aug,high,8,51,25.5,
nov 17-19,3,09-Aug,high,9,153,76.5,
nov 17-19,3,09-Aug,high,10,23,11.5,
nov 17-19,3,09-Aug,high,11,151,75.5,
nov 17-19,3,09-Aug,high,12,108,54,
nov 17-19,3,09-Aug,high,13,137,68.5,
nov 17-19,3,09-Aug,high,14,124,62,
nov 17-19,3,09-Aug,high,15,114,57,
nov 17-19,3,09-Aug,high,16,98,49,
nov 17-19,3,09-Aug,high,17,138,69,
nov 17-19,3,09-Aug,high,18,80,40,
nov 17-19,3,09-Aug,high,19,151,75.5,
nov 17-19,3,09-Aug,high,20,74,37,
nov 19-21,4,11-Oct,low,1,45,22.5,
nov 19-21,4,11-Oct,low,2,46,23,
nov 19-21,4,11-Oct,low,3,0,0,
nov 19-21,4,11-Oct,low,4,0,0,
nov 19-21,4,11-Oct,low,5,1,0.5,
nov 19-21,4,11-Oct,low,6,44,22,
nov 19-21,4,11-Oct,low,7,30,15,
nov 19-21,4,11-Oct,low,8,2,1,
nov 19-21,4,11-Oct,low,9,85,42.5,
nov 19-21,4,11-Oct,low,10,15,7.5,
nov 19-21,4,11-Oct,low,11,65,32.5,
nov 19-21,4,11-Oct,low,12,2,1,
nov 19-21,4,11-Oct,low,13,70,35,
nov 19-21,4,11-Oct,low,14,119,59.5,
nov 19-21,4,11-Oct,low,15,13,6.5,
nov 19-21,4,11-Oct,low,16,108,54,
nov 19-21,4,11-Oct,low,17,97,48.5,
nov 19-21,4,11-Oct,low,18,0,0,
nov 19-21,4,11-Oct,low,19,55,27.5,
nov 19-21,4,11-Oct,low,20,55,27.5,
nov 19-21,4,11-Oct,medium,1,0,0,
nov 19-21,4,11-Oct,medium,2,0,0,
nov 19-21,4,11-Oct,medium,3,114,57,
nov 19-21,4,11-Oct,medium,4,139,69.5,
nov 19-21,4,11-Oct,medium,5,29,14.5,
nov 19-21,4,11-Oct,medium,6,132,66,
nov 19-21,4,11-Oct,medium,7,103,51.5,
nov 19-21,4,11-Oct,medium,8,89,44.5,
nov 19-21,4,11-Oct,medium,9,48,24,
nov 19-21,4,11-Oct,medium,10,132,66,
nov 19-21,4,11-Oct,medium,11,77,38.5,
nov 19-21,4,11-Oct,medium,12,109,54.5,
nov 19-21,4,11-Oct,medium,13,99,49.5,
nov 19-21,4,11-Oct,medium,14,150,75,
nov 19-21,4,11-Oct,medium,15,119,59.5,
nov 19-21,4,11-Oct,medium,16,99,49.5,
nov 19-21,4,11-Oct,medium,17,0,0,
nov 19-21,4,11-Oct,medium,18,123,61.5,
nov 19-21,4,11-Oct,medium,19,102,51,
nov 19-21,4,11-Oct,medium,20,141,70.5,
nov 19-21,4,11-Oct,high,1,97,48.5,
nov 19-21,4,11-Oct,high,2,111,55.5,
nov 19-21,4,11-Oct,high,3,125,62.5,
nov 19-21,4,11-Oct,high,4,74,37,
nov 19-21,4,11-Oct,high,5,111,55.5,
nov 19-21,4,11-Oct,high,6,148,74,
nov 19-21,4,11-Oct,high,7,121,60.5,
nov 19-21,4,11-Oct,high,8,123,61.5,
nov 19-21,4,11-Oct,high,9,149,74.5,
nov 19-21,4,11-Oct,high,10,104,52,
nov 19-21,4,11-Oct,high,11,159,79.5,
nov 19-21,4,11-Oct,high,12,113,56.5,
nov 19-21,4,11-Oct,high,13,127,63.5,
nov 19-21,4,11-Oct,high,14,159,79.5,
nov 19-21,4,11-Oct,high,15,117,58.5,
nov 19-21,4,11-Oct,high,16,102,51,
nov 19-21,4,11-Oct,high,17,126,63,
nov 19-21,4,11-Oct,high,18,126,63,
nov 19-21,4,11-Oct,high,19,140,70,
nov 19-21,4,11-Oct,high,20,88,44,
nov 21-23,5,13-Dec,low,1,54,27,
nov 21-23,5,13-Dec,low,2,130,65,
nov 21-23,5,13-Dec,low,3,0,0,
nov 21-23,5,13-Dec,low,4,77,38.5,
nov 21-23,5,13-Dec,low,5,1,0.5,
nov 21-23,5,13-Dec,low,6,132,66,
nov 21-23,5,13-Dec,low,7,86,43,
nov 21-23,5,13-Dec,low,8,100,50,
nov 21-23,5,13-Dec,low,9,108,54,
nov 21-23,5,13-Dec,low,10,33,16.5,
nov 21-23,5,13-Dec,low,11,79,39.5,
nov 21-23,5,13-Dec,low,12,114,57,
nov 21-23,5,13-Dec,low,13,72,36,
nov 21-23,5,13-Dec,low,14,128,64,
nov 21-23,5,13-Dec,low,15,99,49.5,
nov 21-23,5,13-Dec,low,16,94,47,
nov 21-23,5,13-Dec,low,17,120,60,
nov 21-23,5,13-Dec,low,18,134,67,
nov 21-23,5,13-Dec,low,19,127,63.5,
nov 21-23,5,13-Dec,low,20,127,63.5,
nov 21-23,5,13-Dec,medium,1,0,0,
nov 21-23,5,13-Dec,medium,2,99,49.5,
nov 21-23,5,13-Dec,medium,3,105,52.5,
nov 21-23,5,13-Dec,medium,4,154,77,
nov 21-23,5,13-Dec,medium,5,148,74,
nov 21-23,5,13-Dec,medium,6,127,63.5,
nov 21-23,5,13-Dec,medium,7,101,50.5,
nov 21-23,5,13-Dec,medium,8,84,42,
nov 21-23,5,13-Dec,medium,9,121,60.5,
nov 21-23,5,13-Dec,medium,10,38,19,
nov 21-23,5,13-Dec,medium,11,101,50.5,
nov 21-23,5,13-Dec,medium,12,52,26,
nov 21-23,5,13-Dec,medium,13,107,53.5,
nov 21-23,5,13-Dec,medium,14,67,33.5,
nov 21-23,5,13-Dec,medium,15,97,48.5,
nov 21-23,5,13-Dec,medium,16,97,48.5,
nov 21-23,5,13-Dec,medium,17,90,45,
nov 21-23,5,13-Dec,medium,18,120,60,
nov 21-23,5,13-Dec,medium,19,155,77.5,
nov 21-23,5,13-Dec,medium,20,147,73.5,
nov 21-23,5,13-Dec,high,1,62,31,
nov 21-23,5,13-Dec,high,2,106,53,
nov 21-23,5,13-Dec,high,3,1,0.5,
nov 21-23,5,13-Dec,high,4,127,63.5,
nov 21-23,5,13-Dec,high,5,106,53,
nov 21-23,5,13-Dec,high,6,139,69.5,
nov 21-23,5,13-Dec,high,7,123,61.5,
nov 21-23,5,13-Dec,high,8,115,57.5,
nov 21-23,5,13-Dec,high,9,142,71,
nov 21-23,5,13-Dec,high,10,133,66.5,
nov 21-23,5,13-Dec,high,11,155,77.5,
nov 21-23,5,13-Dec,high,12,110,55,
nov 21-23,5,13-Dec,high,13,103,51.5,
nov 21-23,5,13-Dec,high,14,154,77,
nov 21-23,5,13-Dec,high,15,118,59,
nov 21-23,5,13-Dec,high,16,120,60,
nov 21-23,5,13-Dec,high,17,104,52,
nov 21-23,5,13-Dec,high,18,118,59,
nov 21-23,5,13-Dec,high,19,136,68,
nov 21-23,5,13-Dec,high,20,90,45,
nov 23-25,6,14-15,low,1,46,23,
nov 23-25,6,14-15,low,2,144,72,
nov 23-25,6,14-15,low,3,0,0,
nov 23-25,6,14-15,low,4,78,39,
nov 23-25,6,14-15,low,5,24,12,
nov 23-25,6,14-15,low,6,163,81.5,
nov 23-25,6,14-15,low,7,61,30.5,
nov 23-25,6,14-15,low,8,126,63,
nov 23-25,6,14-15,low,9,82,41,
nov 23-25,6,14-15,low,10,25,12.5,
nov 23-25,6,14-15,low,11,77,38.5,
nov 23-25,6,14-15,low,12,94,47,
nov 23-25,6,14-15,low,13,62,31,
nov 23-25,6,14-15,low,14,113,56.5,
nov 23-25,6,14-15,low,15,112,56,
nov 23-25,6,14-15,low,16,115,57.5,
nov 23-25,6,14-15,low,17,86,43,
nov 23-25,6,14-15,low,18,140,70,
nov 23-25,6,14-15,low,19,137,68.5,
nov 23-25,6,14-15,low,20,127,63.5,
nov 23-25,6,14-15,medium,1,0,0,
nov 23-25,6,14-15,medium,2,103,51.5,
nov 23-25,6,14-15,medium,3,112,56,
nov 23-25,6,14-15,medium,4,150,75,
nov 23-25,6,14-15,medium,5,141,70.5,
nov 23-25,6,14-15,medium,6,10,5,
nov 23-25,6,14-15,medium,7,125,62.5,
nov 23-25,6,14-15,medium,8,96,48,
nov 23-25,6,14-15,medium,9,5,2.5,
nov 23-25,6,14-15,medium,10,0,0,
nov 23-25,6,14-15,medium,11,104,52,
nov 23-25,6,14-15,medium,12,13,6.5,
nov 23-25,6,14-15,medium,13,35,17.5,
nov 23-25,6,14-15,medium,14,20,10,
nov 23-25,6,14-15,medium,15,13,6.5,
nov 23-25,6,14-15,medium,16,104,52,
nov 23-25,6,14-15,medium,17,1,0.5,
nov 23-25,6,14-15,medium,18,102,51,
nov 23-25,6,14-15,medium,19,140,70,
nov 23-25,6,14-15,medium,20,102,51,
nov 23-25,6,14-15,high,1,98,49,
nov 23-25,6,14-15,high,2,92,46,
nov 23-25,6,14-15,high,3,0,0,
nov 23-25,6,14-15,high,4,100,50,
nov 23-25,6,14-15,high,5,76,38,
nov 23-25,6,14-15,high,6,91,45.5,
nov 23-25,6,14-15,high,7,35,17.5,
nov 23-25,6,14-15,high,8,98,49,
nov 23-25,6,14-15,high,9,127,63.5,
nov 23-25,6,14-15,high,10,26,13,
nov 23-25,6,14-15,high,11,155,77.5,
nov 23-25,6,14-15,high,12,132,66,
nov 23-25,6,14-15,high,13,48,24,
nov 23-25,6,14-15,high,14,85,42.5,
nov 23-25,6,14-15,high,15,105,52.5,
nov 23-25,6,14-15,high,16,132,66,
nov 23-25,6,14-15,high,17,80,40,
nov 23-25,6,14-15,high,18,78,39,
nov 23-25,6,14-15,high,19,119,59.5,
nov 23-25,6,14-15,high,20,91,45.5,
nov 25-28,7,16-20,low,1,55,13.75,
nov 25-28,7,16-20,low,2,104,26,
nov 25-28,7,16-20,low,3,0,0,
nov 25-28,7,16-20,low,4,102,25.5,
nov 25-28,7,16-20,low,5,37,9.25,
nov 25-28,7,16-20,low,6,149,37.25,
nov 25-28,7,16-20,low,7,89,22.25,
nov 25-28,7,16-20,low,8,71,17.75,
nov 25-28,7,16-20,low,9,8,2,
nov 25-28,7,16-20,low,10,16,4,
nov 25-28,7,16-20,low,11,1,0.25,
nov 25-28,7,16-20,low,12,1,0.25,
nov 25-28,7,16-20,low,13,45,11.25,
nov 25-28,7,16-20,low,14,95,23.75,
nov 25-28,7,16-20,low,15,79,19.75,
nov 25-28,7,16-20,low,16,74,18.5,
nov 25-28,7,16-20,low,17,125,31.25,
nov 25-28,7,16-20,low,18,77,19.25,
nov 25-28,7,16-20,low,19,114,28.5,
nov 25-28,7,16-20,low,20,78,19.5,
nov 25-28,7,16-20,medium,1,0,0,
nov 25-28,7,16-20,medium,2,132,33,
nov 25-28,7,16-20,medium,3,97,24.25,
nov 25-28,7,16-20,medium,4,169,42.25,
nov 25-28,7,16-20,medium,5,202,50.5,
nov 25-28,7,16-20,medium,6,151,37.75,
nov 25-28,7,16-20,medium,7,113,28.25,
nov 25-28,7,16-20,medium,8,91,22.75,
nov 25-28,7,16-20,medium,9,101,25.25,
nov 25-28,7,16-20,medium,10,126,31.5,
nov 25-28,7,16-20,medium,11,92,23,
nov 25-28,7,16-20,medium,12,136,34,
nov 25-28,7,16-20,medium,13,103,25.75,
nov 25-28,7,16-20,medium,14,140,35,
nov 25-28,7,16-20,medium,15,132,33,
nov 25-28,7,16-20,medium,16,161,40.25,
nov 25-28,7,16-20,medium,17,123,30.75,
nov 25-28,7,16-20,medium,18,124,31,
nov 25-28,7,16-20,medium,19,160,40,
nov 25-28,7,16-20,medium,20,78,19.5,
nov 25-28,7,16-20,high,1,144,36,
nov 25-28,7,16-20,high,2,148,37,
nov 25-28,7,16-20,high,3,166,41.5,
nov 25-28,7,16-20,high,4,142,35.5,
nov 25-28,7,16-20,high,5,86,21.5,
nov 25-28,7,16-20,high,6,162,40.5,
nov 25-28,7,16-20,high,7,110,27.5,
nov 25-28,7,16-20,high,8,69,17.25,
nov 25-28,7,16-20,high,9,132,33,
nov 25-28,7,16-20,high,10,0,0,
nov 25-28,7,16-20,high,11,151,37.75,
nov 25-28,7,16-20,high,12,82,20.5,
nov 25-28,7,16-20,high,13,141,35.25,
nov 25-28,7,16-20,high,14,155,38.75,
nov 25-28,7,16-20,high,15,143,35.75,
nov 25-28,7,16-20,high,16,124,31,
nov 25-28,7,16-20,high,17,131,32.75,
nov 25-28,7,16-20,high,18,67,16.75,
nov 25-28,7,16-20,high,19,139,34.75,
nov 25-28,7,16-20,high,20,71,17.75,
nov 28-dec 3,8,20-23,low,1,45,11.25,
nov 28-dec 3,8,20-23,low,2,125,31.25,
nov 28-dec 3,8,20-23,low,3,0,0,
nov 28-dec 3,8,20-23,low,4,57,14.25,
nov 28-dec 3,8,20-23,low,5,36,9,
nov 28-dec 3,8,20-23,low,6,154,38.5,
nov 28-dec 3,8,20-23,low,7,111,27.75,
nov 28-dec 3,8,20-23,low,8,106,26.5,
nov 28-dec 3,8,20-23,low,9,146,36.5,
nov 28-dec 3,8,20-23,low,10,50,12.5,
nov 28-dec 3,8,20-23,low,11,99,24.75,
nov 28-dec 3,8,20-23,low,12,139,34.75,
nov 28-dec 3,8,20-23,low,13,119,29.75,
nov 28-dec 3,8,20-23,low,14,145,36.25,
nov 28-dec 3,8,20-23,low,15,100,25,
nov 28-dec 3,8,20-23,low,16,111,27.75,
nov 28-dec 3,8,20-23,low,17,93,23.25,
nov 28-dec 3,8,20-23,low,18,136,34,
nov 28-dec 3,8,20-23,low,19,127,31.75,
nov 28-dec 3,8,20-23,low,20,125,31.25,
nov 28-dec 3,8,20-23,medium,1,0,0,
nov 28-dec 3,8,20-23,medium,2,124,31,
nov 28-dec 3,8,20-23,medium,3,71,17.75,
nov 28-dec 3,8,20-23,medium,4,88,22,
nov 28-dec 3,8,20-23,medium,5,149,37.25,
nov 28-dec 3,8,20-23,medium,6,135,33.75,
nov 28-dec 3,8,20-23,medium,7,127,31.75,
nov 28-dec 3,8,20-23,medium,8,97,24.25,
nov 28-dec 3,8,20-23,medium,9,13,3.25,
nov 28-dec 3,8,20-23,medium,10,122,30.5,
nov 28-dec 3,8,20-23,medium,11,41,10.25,
nov 28-dec 3,8,20-23,medium,12,136,34,
nov 28-dec 3,8,20-23,medium,13,105,26.25,
nov 28-dec 3,8,20-23,medium,14,10,2.5,
nov 28-dec 3,8,20-23,medium,15,132,33,
nov 28-dec 3,8,20-23,medium,16,102,25.5,
nov 28-dec 3,8,20-23,medium,17,0,0,
nov 28-dec 3,8,20-23,medium,18,77,19.25,
nov 28-dec 3,8,20-23,medium,19,58,14.5,
nov 28-dec 3,8,20-23,medium,20,144,36,
nov 28-dec 3,8,20-23,high,1,83,20.75,
nov 28-dec 3,8,20-23,high,2,140,35,
nov 28-dec 3,8,20-23,high,3,137,34.25,
nov 28-dec 3,8,20-23,high,4,124,31,
nov 28-dec 3,8,20-23,high,5,89,22.25,
nov 28-dec 3,8,20-23,high,6,87,21.75,
nov 28-dec 3,8,20-23,high,7,76,19,
nov 28-dec 3,8,20-23,high,8,94,23.5,
nov 28-dec 3,8,20-23,high,9,107,26.75,
nov 28-dec 3,8,20-23,high,10,10,2.5,
nov 28-dec 3,8,20-23,high,11,144,36,
nov 28-dec 3,8,20-23,high,12,96,24,
nov 28-dec 3,8,20-23,high,13,93,23.25,
nov 28-dec 3,8,20-23,high,14,59,14.75,
nov 28-dec 3,8,20-23,high,15,103,25.75,
nov 28-dec 3,8,20-23,high,16,110,27.5,
nov 28-dec 3,8,20-23,high,17,107,26.75,
nov 28-dec 3,8,20-23,high,18,87,21.75,
nov 28-dec 3,8,20-23,high,19,73,18.25,
nov 28-dec 3,8,20-23,high,20,95,23.75,
